symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,model
3,15,1,1,2,4,3,1,225.04,428.75,162.81,123.95,1155.75,4,4,130,8,3.47,2.68,9.0,111,5000,21,27,13495.0,giulia
3,15,1,1,2,4,3,1,225.04,428.75,162.81,123.95,1155.75,4,4,130,8,3.47,2.68,9.0,111,5000,21,27,16500.0,stelvio
1,15,1,1,2,1,3,1,240.03,434.85,166.37,133.1,1280.49,5,6,152,8,2.68,3.47,9.0,154,5000,19,26,16500.0,Quadrifoglio
2,17,1,1,4,3,1,1,253.49,448.56,168.15,137.92,1060.05,1,4,109,8,3.19,3.4,10.0,102,5500,24,30,13950.0,100 ls
2,17,1,1,4,3,2,1,252.48,448.56,168.66,137.92,1280.94,1,5,136,8,3.19,3.4,8.0,115,5500,18,22,17450.0,100ls
2,17,1,1,2,3,1,1,253.49,450.34,168.4,134.87,1137.16,1,5,136,8,3.19,3.4,8.5,110,5500,19,25,15250.0,fox
1,17,1,1,4,3,1,1,268.73,489.46,181.36,141.48,1290.02,1,5,136,8,3.19,3.4,8.5,110,5500,19,25,17710.0,100ls
1,17,1,1,4,2,1,1,268.73,489.46,181.36,141.48,1339.91,1,5,136,8,3.19,3.4,8.5,110,5500,19,25,18920.0,5000
1,17,1,2,4,3,1,1,268.73,489.46,181.36,141.99,1399.79,1,5,131,8,3.13,3.4,8.3,140,5500,17,20,23875.0,4000
0,17,1,2,2,1,2,1,252.73,452.63,172.47,132.08,1384.82,1,5,131,8,3.13,3.4,7.0,160,5500,16,22,17859.167,5000s (diesel)
2,19,1,1,2,3,3,1,257.05,449.07,164.59,137.92,1086.35,1,4,108,8,3.5,2.8,8.8,101,5800,23,29,16430.0,320i
0,19,1,1,4,3,3,1,257.05,449.07,164.59,137.92,1086.35,1,4,108,8,3.5,2.8,8.8,101,5800,23,29,16925.0,320i
0,19,1,1,2,3,3,1,257.05,449.07,164.59,137.92,1229.24,1,6,164,8,3.31,3.19,9.0,121,4250,21,28,20970.0,x1
0,19,1,1,4,3,3,1,257.05,449.07,164.59,137.92,1254.18,1,6,164,8,3.31,3.19,9.0,121,4250,21,28,21105.0,x3
1,19,1,1,4,3,3,1,262.89,480.06,169.93,141.48,1385.72,1,6,164,8,3.31,3.19,9.0,121,4250,20,25,24565.0,z4
0,19,1,1,4,3,3,1,262.89,480.06,169.93,141.48,1465.1,1,6,209,8,3.62,3.39,8.0,182,5400,16,22,30760.0,x4
0,19,1,1,2,3,3,1,262.89,492.25,172.47,136.4,1533.14,1,6,209,8,3.62,3.39,8.0,182,5400,16,22,41315.0,x5
0,19,1,1,4,3,3,1,279.4,500.38,180.09,143.0,1589.84,1,6,209,8,3.62,3.39,8.0,182,5400,15,20,36880.0,x3
2,1,1,1,2,1,1,1,224.54,358.39,153.16,135.13,674.95,3,3,61,1,2.91,3.03,9.5,48,5100,47,53,5151.0,impala
1,1,1,1,2,1,1,1,240.03,395.99,161.54,132.08,850.03,1,4,90,1,3.03,3.11,9.6,70,5400,38,43,6295.0,monte carlo
0,1,1,1,4,3,1,1,240.03,403.35,161.54,132.08,865.91,1,4,90,1,3.03,3.11,9.6,70,5400,38,43,6575.0,vega 2300
1,2,1,1,2,1,1,1,238.0,399.54,162.05,129.03,850.94,1,4,90,1,2.97,3.23,9.41,68,5500,37,41,5572.0,rampage
1,2,1,1,2,1,1,1,238.0,399.54,162.05,129.03,850.94,1,4,90,1,2.97,3.23,9.4,68,5500,31,38,6377.0,challenger se
1,2,1,2,2,1,1,1,238.0,399.54,162.05,129.03,965.24,1,4,98,8,3.03,3.39,7.6,102,5500,24,30,7957.0,d200
1,2,1,1,4,1,1,1,238.0,399.54,162.05,128.52,892.22,1,4,90,1,2.97,3.23,9.4,68,5500,31,38,6229.0,monaco (sw)
1,2,1,1,4,3,1,1,238.0,399.54,162.05,128.52,902.2,1,4,90,1,2.97,3.23,9.4,68,5500,31,38,6692.0,colt hardtop
1,2,1,1,4,3,1,1,238.0,399.54,162.05,128.52,902.2,1,4,90,1,2.97,3.23,9.4,68,5500,31,38,7609.0,colt (sw)
1,2,1,2,2,3,1,1,238.0,399.54,162.05,128.52,993.82,1,4,98,8,3.03,3.39,7.6,102,5500,24,30,8558.0,coronet custom
-1,2,1,1,4,2,1,1,262.38,443.48,164.08,151.89,1149.86,1,4,122,1,3.34,3.46,8.5,88,5000,24,30,8921.0,dart custom
3,2,1,2,2,1,1,1,243.59,439.93,168.4,127.51,1275.05,1,4,156,6,3.6,3.9,7.0,145,5000,19,24,12964.0,coronet custom (sw)
2,4,1,1,2,1,1,1,219.96,367.28,162.31,129.03,777.0,1,4,92,2,2.91,3.41,9.6,58,4800,49,54,6479.0,civic
2,4,1,1,2,1,1,1,219.96,367.28,162.31,129.03,825.08,1,4,92,2,2.91,3.41,9.2,76,6000,31,38,6855.0,civic cvcc
1,4,1,1,2,1,1,1,238.0,381.0,162.56,133.6,833.25,1,4,79,2,2.91,3.07,10.1,60,5500,38,42,5399.0,civic
1,4,1,1,2,1,1,1,238.0,381.0,162.56,133.6,879.97,1,4,92,2,2.91,3.41,9.2,76,6000,30,34,6529.0,accord cvcc
1,4,1,1,2,1,1,1,238.0,381.0,162.56,133.6,887.23,1,4,92,2,2.91,3.41,9.2,76,6000,30,34,7129.0,civic cvcc
0,4,1,1,4,3,1,1,245.11,415.04,162.56,138.43,911.72,1,4,92,2,2.91,3.41,9.2,76,6000,30,34,7295.0,accord lx
0,4,1,1,4,2,1,1,245.11,399.03,162.31,148.08,918.07,1,4,92,2,2.92,3.41,9.2,76,6000,30,34,7295.0,civic 1500 gl
0,4,1,1,2,1,1,1,245.11,425.45,165.61,135.38,1014.23,1,4,110,2,3.15,3.58,9.0,86,5800,27,33,7895.0,accord
0,4,1,1,2,1,1,1,245.11,425.45,165.61,135.38,1038.27,1,4,110,2,3.15,3.58,9.0,86,5800,27,33,9095.0,civic 1300
0,4,1,1,4,3,1,1,245.11,445.52,165.61,137.41,1045.08,1,4,110,2,3.15,3.58,9.0,86,5800,27,33,8845.0,prelude
0,4,1,1,4,3,1,1,245.11,445.52,158.75,137.41,1075.92,1,4,110,2,3.15,3.58,9.0,86,5800,27,33,10295.0,accord
0,4,1,1,4,3,1,1,245.11,445.52,165.61,137.41,1118.11,1,4,110,8,3.15,3.58,9.0,101,5800,24,28,12945.0,civic
