CarName,carbody,drivewheel,wheelbase,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,horsepower,citympg,highwaympg,price
alfa-romeo,convertible,rwd,225.04,428.75,162.81,1155.75,dohc,4,130,mpfi,3.47,111,21,27,13495.0
alfa-romeo,convertible,rwd,225.04,428.75,162.81,1155.75,dohc,4,130,mpfi,3.47,111,21,27,16500.0
alfa-romeo,hatchback,rwd,240.03,434.85,166.37,1280.49,ohcv,6,152,mpfi,2.68,154,19,26,16500.0
audi,sedan,fwd,253.49,448.56,168.15,1060.05,ohc,4,109,mpfi,3.19,102,24,30,13950.0
audi,sedan,4wd,252.48,448.56,168.66,1280.94,ohc,5,136,mpfi,3.19,115,18,22,17450.0
audi,sedan,fwd,253.49,450.34,168.4,1137.16,ohc,5,136,mpfi,3.19,110,19,25,15250.0
audi,sedan,fwd,268.73,489.46,181.36,1290.02,ohc,5,136,mpfi,3.19,110,19,25,17710.0
audi,wagon,fwd,268.73,489.46,181.36,1339.91,ohc,5,136,mpfi,3.19,110,19,25,18920.0
audi,sedan,fwd,268.73,489.46,181.36,1399.79,ohc,5,131,mpfi,3.13,140,17,20,23875.0
audi,hatchback,4wd,252.73,452.63,172.47,1384.82,ohc,5,131,mpfi,3.13,160,16,22,17859.167
bmw,sedan,rwd,257.05,449.07,164.59,1086.35,ohc,4,108,mpfi,3.5,101,23,29,16430.0
bmw,sedan,rwd,257.05,449.07,164.59,1086.35,ohc,4,108,mpfi,3.5,101,23,29,16925.0
bmw,sedan,rwd,257.05,449.07,164.59,1229.24,ohc,6,164,mpfi,3.31,121,21,28,20970.0
bmw,sedan,rwd,257.05,449.07,164.59,1254.18,ohc,6,164,mpfi,3.31,121,21,28,21105.0
bmw,sedan,rwd,262.89,480.06,169.93,1385.72,ohc,6,164,mpfi,3.31,121,20,25,24565.0
bmw,sedan,rwd,262.89,480.06,169.93,1465.1,ohc,6,209,mpfi,3.62,182,16,22,30760.0
bmw,sedan,rwd,262.89,492.25,172.47,1533.14,ohc,6,209,mpfi,3.62,182,16,22,41315.0
bmw,sedan,rwd,279.4,500.38,180.09,1589.84,ohc,6,209,mpfi,3.62,182,15,20,36880.0
chevrolet,hatchback,fwd,224.54,358.39,153.16,674.95,l,3,61,2bbl,2.91,48,47,53,5151.0
chevrolet,hatchback,fwd,240.03,395.99,161.54,850.03,ohc,4,90,2bbl,3.03,70,38,43,6295.0
chevrolet,sedan,fwd,240.03,403.35,161.54,865.91,ohc,4,90,2bbl,3.03,70,38,43,6575.0
dodge,hatchback,fwd,238.0,399.54,162.05,850.94,ohc,4,90,2bbl,2.97,68,37,41,5572.0
dodge,hatchback,fwd,238.0,399.54,162.05,850.94,ohc,4,90,2bbl,2.97,68,31,38,6377.0
dodge,hatchback,fwd,238.0,399.54,162.05,965.24,ohc,4,98,mpfi,3.03,102,24,30,7957.0
dodge,hatchback,fwd,238.0,399.54,162.05,892.22,ohc,4,90,2bbl,2.97,68,31,38,6229.0
dodge,sedan,fwd,238.0,399.54,162.05,902.2,ohc,4,90,2bbl,2.97,68,31,38,6692.0
dodge,sedan,fwd,238.0,399.54,162.05,902.2,ohc,4,90,2bbl,2.97,68,31,38,7609.0
dodge,sedan,fwd,238.0,399.54,162.05,993.82,ohc,4,98,mpfi,3.03,102,24,30,8558.0
dodge,wagon,fwd,262.38,443.48,164.08,1149.86,ohc,4,122,2bbl,3.34,88,24,30,8921.0
dodge,hatchback,fwd,243.59,439.93,168.4,1275.05,ohc,4,156,mfi,3.6,145,19,24,12964.0
honda,hatchback,fwd,219.96,367.28,162.31,777.0,ohc,4,92,1bbl,2.91,58,49,54,6479.0
honda,hatchback,fwd,219.96,367.28,162.31,825.08,ohc,4,92,1bbl,2.91,76,31,38,6855.0
